Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C3554460,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 12",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,MyList
DisGeNET,35,C1837315,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,MyList
DisGeNET,35,C0235874,Disease Exacerbation,,-3.2,18,6.9,30337,166,31,3,9.7,5.3,1956|4363|57610,EGFR|ABCC1|RANBP10,-0.32,MyList
DisGeNET,35,C2675481,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 10",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,MyList
DisGeNET,35,C1519689,Tumor Promotion,,-3.2,17,6.8,30337,170,31,3,9.7,5.3,688|1956|9577,KLF5|EGFR|BABAM2,-0.3,MyList
DisGeNET,35,C1739135,Progression of prostate cancer,,-3.2,9.8,5.7,30337,398,31,4,13,6,688|1902|1956|1958,KLF5|LPAR1|EGFR|EGR1,-0.3,MyList
DisGeNET,35,C0346629,Malignant neoplasm of large intestine,,-3.1,17,6.7,30337,173,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.3,MyList
TRRUST,34,TRR01419,Regulated by: TP53,,-3.1,17,6.7,30337,176,31,3,9.7,5.3,1956|1958|6934,EGFR|EGR1|TCF7L2,-0.3,MyList
DisGeNET,35,C0035455,Rhinitis,,-3.1,17,6.7,30337,177,31,3,9.7,5.3,1956|54882|404734,EGFR|ANKHD1|ANKHD1-EIF4EBP3,-0.3,MyList
DisGeNET,35,C0019193,"Hepatitis, Toxic",,-3.1,9.5,5.6,30337,412,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,MyList
DisGeNET,35,C4279912,Chemically-Induced Liver Toxicity,,-3.1,9.5,5.6,30337,412,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,MyList
DisGeNET,35,C3658290,Drug-Induced Acute Liver Injury,,-3.1,9.5,5.5,30337,413,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,MyList
DisGeNET,35,C1262760,"Hepatitis, Drug-Induced",,-3.1,9.4,5.5,30337,418,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.29,MyList
DisGeNET,35,C0021841,Intestinal Neoplasms,,-3.1,16,6.5,30337,182,31,3,9.7,5.3,688|1956|6934,KLF5|EGFR|TCF7L2,-0.29,MyList
DisGeNET,35,C0016059,Fibrosis,,-3.1,16,6.5,30337,184,31,3,9.7,5.3,1956|1958|5322,EGFR|EGR1|PLA2G5,-0.29,MyList
DisGeNET,35,C0677936,Refractory cancer,,-3.1,16,6.5,30337,184,31,3,9.7,5.3,1956|4363|5034,EGFR|ABCC1|P4HB,-0.29,MyList
Transcription Factor Targets,16,M4764,TGTTTGY HNF3 Q6,,-3,6.5,4.9,30337,748,31,5,16,6.6,688|6934|7018|9577|27042,KLF5|TCF7L2|TF|BABAM2|UTP25,-0.28,MyList
DisGeNET,35,C0026936,Mycoplasma Infections,,-3,16,6.4,30337,188,31,3,9.7,5.3,1956|3184|10002,EGFR|HNRNPD|NR2E3,-0.28,MyList
DisGeNET,35,C4722099,High grade glioma,,-3,15,6.4,30337,190,31,3,9.7,5.3,1956|1958|6934,EGFR|EGR1|TCF7L2,-0.28,MyList
Transcription Factor Targets,16,M40707,TOX4 TARGET GENES,,-3,15,6.4,30337,191,31,3,9.7,5.3,5034|54882|404734,P4HB|ANKHD1|ANKHD1-EIF4EBP3,-0.28,MyList
DisGeNET,35,C0278876,Adult Medulloblastoma,,-3,6.4,4.8,30337,762,31,5,16,6.6,1956|4363|6934|7018|8358,EGFR|ABCC1|TCF7L2|TF|H3C2,-0.28,MyList
Cell Type Signatures,7,M39054,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3,8.9,5.3,30337,440,31,4,13,6,1956|1958|6934|7018,EGFR|EGR1|TCF7L2|TF,-0.27,MyList
DisGeNET,35,C0278510,Childhood Medulloblastoma,,-3,6.3,4.8,30337,771,31,5,16,6.6,1956|4363|6934|7018|8358,EGFR|ABCC1|TCF7L2|TF|H3C2,-0.27,MyList
DisGeNET,35,C0278660,Adult Synovial Sarcoma,,-3,15,6.2,30337,198,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.26,MyList
DisGeNET,35,C0279982,Childhood Synovial Sarcoma,,-3,15,6.2,30337,198,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.26,MyList
DisGeNET,35,C1302401,Adenoma of large intestine,,-3,8.7,5.2,30337,452,31,4,13,6,688|1902|1956|6934,KLF5|LPAR1|EGFR|TCF7L2,-0.26,MyList
DisGeNET,35,C0278701,Gastric Adenocarcinoma,,-3,8.6,5.2,30337,453,31,4,13,6,688|1956|4363|6185,KLF5|EGFR|ABCC1|RPN2,-0.26,MyList
DisGeNET,35,C0035344,Retinopathy of Prematurity,,-2.9,15,6.2,30337,202,31,3,9.7,5.3,1902|54882|404734,LPAR1|ANKHD1|ANKHD1-EIF4EBP3,-0.26,MyList
DisGeNET,35,C0276447,Rhinovirus infection,,-2.9,15,6.2,30337,202,31,3,9.7,5.3,1956|3184|6421,EGFR|HNRNPD|SFPQ,-0.26,MyList
Cell Type Signatures,7,M40010,BUSSLINGER GASTRIC ISTHMUS CELLS,,-2.9,8.5,5.2,30337,458,31,4,13,6,688|5034|6185|6934,KLF5|P4HB|RPN2|TCF7L2,-0.26,MyList
DisGeNET,35,C4277682,Chemical and Drug Induced Liver Injury,,-2.9,8.5,5.2,30337,461,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.26,MyList
DisGeNET,35,C0040420,Tonometry,,-2.9,14,6.1,30337,206,31,3,9.7,5.3,688|6934|9577,KLF5|TCF7L2|BABAM2,-0.26,MyList
Cell Type Signatures,7,M40238,DESCARTES FETAL LUNG CSH1 CSH2 POSITIVE CELLS,,-2.9,14,6,30337,212,31,3,9.7,5.3,3184|7378|84759,HNRNPD|UPP1|PCGF1,-0.23,MyList
Transcription Factor Targets,16,M4372,STAT5A 04,,-2.9,14,6,30337,214,31,3,9.7,5.3,4154|54882|404734,MBNL1|ANKHD1|ANKHD1-EIF4EBP3,-0.22,MyList
DisGeNET,35,C0202117,Low density lipoprotein cholesterol measurement,,-2.8,8.1,5,30337,483,31,4,13,6,5322|6934|7018|55183,PLA2G5|TCF7L2|TF|RIF1,-0.21,MyList
DisGeNET,35,C0079772,T-Cell Lymphoma,,-2.8,8.1,5,30337,485,31,4,13,6,1956|1958|4363|7018,EGFR|EGR1|ABCC1|TF,-0.21,MyList
DisGeNET,35,C1445957,Serum total cholesterol measurement,,-2.8,8.1,5,30337,486,31,4,13,6,1902|4363|5322|6934,LPAR1|ABCC1|PLA2G5|TCF7L2,-0.21,MyList
DisGeNET,35,C0205696,Anaplastic carcinoma,,-2.8,13,5.7,30337,232,31,3,9.7,5.3,1902|1956|7018,LPAR1|EGFR|TF,-0.15,MyList
Transcription Factor Targets,16,M3888,SYATTGTG UNKNOWN,,-2.8,13,5.7,30337,232,31,3,9.7,5.3,54882|57610|404734,ANKHD1|RANBP10|ANKHD1-EIF4EBP3,-0.15,MyList
DisGeNET,35,C2938924,Oestrogen receptor positive breast cancer,,-2.8,7.7,4.9,30337,510,31,4,13,6,688|1956|6934|10002,KLF5|EGFR|TCF7L2|NR2E3,-0.15,MyList
Transcription Factor Targets,16,M9279,E2F1 Q6,,-2.7,12,5.6,30337,236,31,3,9.7,5.3,688|1325|3184,KLF5|CORT|HNRNPD,-0.14,MyList
TRRUST,34,TRR01256,Regulated by: SP1,,-2.7,7.4,4.8,30337,526,31,4,13,6,1956|1958|4363|7018,EGFR|EGR1|ABCC1|TF,-0.11,MyList
Transcription Factor Targets,16,M12580,GATA3 01,,-2.7,12,5.5,30337,245,31,3,9.7,5.3,688|4154|7018,KLF5|MBNL1|TF,-0.11,MyList
Transcription Factor Targets,16,M40790,SRCAP TARGET GENES,,-2.7,7.4,4.7,30337,530,31,4,13,6,1902|6934|8880|9577,LPAR1|TCF7L2|FUBP1|BABAM2,-0.11,MyList
Transcription Factor Targets,16,M3265,NFMUE1 Q6,,-2.7,12,5.5,30337,250,31,3,9.7,5.3,3184|6421|55183,HNRNPD|SFPQ|RIF1,-0.093,MyList
DisGeNET,35,C0238198,Gastrointestinal Stromal Tumors,,-2.7,7.3,4.7,30337,538,31,4,13,6,688|1956|4363|8358,KLF5|EGFR|ABCC1|H3C2,-0.093,MyList
DisGeNET,35,C0392885,High density lipoprotein measurement,,-2.7,7.2,4.7,30337,545,31,4,13,6,3587|4154|6934|57610,IL10RA|MBNL1|TCF7L2|RANBP10,-0.081,MyList
DisGeNET,35,C0018939,Hematological Disease,,-2.7,12,5.4,30337,255,31,3,9.7,5.3,1956|1958|8880,EGFR|EGR1|FUBP1,-0.081,MyList
DisGeNET,35,C0018081,Gonorrhea,,-2.6,11,5.3,30337,261,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.057,MyList
Transcription Factor Targets,16,M17944,MYCMAX 03,,-2.6,11,5.3,30337,264,31,3,9.7,5.3,3184|54882|404734,HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.053,MyList
DisGeNET,35,C0202239,Uric acid measurement (procedure),,-2.6,11,5.3,30337,264,31,3,9.7,5.3,6934|8358|9577,TCF7L2|H3C2|BABAM2,-0.053,MyList
Transcription Factor Targets,16,M12240,NFKB C,,-2.6,11,5.2,30337,268,31,3,9.7,5.3,54882|57610|404734,ANKHD1|RANBP10|ANKHD1-EIF4EBP3,-0.044,MyList
DisGeNET,35,C0022578,Keratoconus,,-2.6,11,5.2,30337,269,31,3,9.7,5.3,7018|10002|79623,TF|NR2E3|GALNT14,-0.044,MyList
DisGeNET,35,C0751396,Well Differentiated Oligodendroglioma,,-2.6,11,5.2,30337,270,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.044,MyList
Transcription Factor Targets,16,M18461,ARNT 01,,-2.6,11,5.2,30337,271,31,3,9.7,5.3,4154|54882|404734,MBNL1|ANKHD1|ANKHD1-EIF4EBP3,-0.044,MyList
Transcription Factor Targets,16,M6830,CEBP Q2 01,,-2.6,11,5.2,30337,272,31,3,9.7,5.3,688|1956|4154,KLF5|EGFR|MBNL1,-0.044,MyList
Transcription Factor Targets,16,M3024,MYCMAX 02,,-2.6,11,5.2,30337,272,31,3,9.7,5.3,4154|54882|404734,MBNL1|ANKHD1|ANKHD1-EIF4EBP3,-0.044,MyList
Transcription Factor Targets,16,M11244,AREB6 01,,-2.6,11,5.2,30337,274,31,3,9.7,5.3,54882|84759|404734,ANKHD1|PCGF1|ANKHD1-EIF4EBP3,-0.039,MyList
DisGeNET,35,C0020550,Hyperthyroidism,,-2.5,11,5.1,30337,278,31,3,9.7,5.3,1956|1958|57017,EGFR|EGR1|COQ9,-0.028,MyList
DisGeNET,35,C0162871,"Aortic Aneurysm, Abdominal",,-2.5,6.7,4.4,30337,585,31,4,13,6,688|1325|1956|1958,KLF5|CORT|EGFR|EGR1,-0.028,MyList
DisGeNET,35,C0028945,oligodendroglioma,,-2.5,10,5.1,30337,282,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.017,MyList
DisGeNET,35,C0374997,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-2.5,6.6,4.4,30337,593,31,4,13,6,688|1956|1958|4363,KLF5|EGFR|EGR1|ABCC1,-0.017,MyList
Transcription Factor Targets,16,M6101,ER Q6,,-2.5,10,5.1,30337,284,31,3,9.7,5.3,6934|54882|404734,TCF7L2|ANKHD1|ANKHD1-EIF4EBP3,-0.017,MyList
COVID,200,COVID173,Proteome_Stukalov_A549_72h_ORF3_Up,,-2.5,10,5,30337,291,31,3,9.7,5.3,1956|4363|5034,EGFR|ABCC1|P4HB,0,MyList
DisGeNET,35,C0017152,Gastritis,,-2.5,10,5,30337,292,31,3,9.7,5.3,688|1956|4363,KLF5|EGFR|ABCC1,0,MyList
DisGeNET,35,C0153633,Malignant neoplasm of brain,,-2.5,10,5,30337,294,31,3,9.7,5.3,1956|5034|7018,EGFR|P4HB|TF,0,MyList
DisGeNET,35,C4086152,Childhood Astrocytoma,,-2.5,6.4,4.3,30337,615,31,4,13,6,1956|1958|4363|6934,EGFR|EGR1|ABCC1|TCF7L2,0,MyList
DisGeNET,35,C0004623,Bacterial Infections,,-2.5,6.4,4.3,30337,616,31,4,13,6,1956|5034|7018|10002,EGFR|P4HB|TF|NR2E3,0,MyList
DisGeNET,35,C0039101,synovial sarcoma,,-2.5,9.8,4.9,30337,299,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,MyList
COVID,200,COVID236,Proteome_Klann_Caco-2_24h_Down,,-2.5,9.8,4.9,30337,300,31,3,9.7,5.3,688|54882|55183,KLF5|ANKHD1|RIF1,0,MyList
COVID,200,COVID199,Ubiquitinome_Stukalov_A549-ACE2_24h_Up,,-2.5,9.8,4.9,30337,300,31,3,9.7,5.3,1956|4363|6421,EGFR|ABCC1|SFPQ,0,MyList
COVID,200,COVID060,Phosphoproteome_Bouhaddou_Vero_E6_24h_Up,,-2.5,9.8,4.9,30337,300,31,3,9.7,5.3,1956|8880|55183,EGFR|FUBP1|RIF1,0,MyList
COVID,200,COVID235,Phosphoproteome_Klann_Caco-2_24h_Up,,-2.5,9.8,4.9,30337,300,31,3,9.7,5.3,6934|8880|55183,TCF7L2|FUBP1|RIF1,0,MyList
DisGeNET,35,C0020459,Hyperinsulinism,,-2.5,6.3,4.3,30337,620,31,4,13,6,688|1958|6934|10002,KLF5|EGR1|TCF7L2|NR2E3,0,MyList
Transcription Factor Targets,16,M30011,HOXB6 TARGET GENES,,-2.4,6.1,4.2,30337,638,31,4,13,6,8880|54882|84759|404734,FUBP1|ANKHD1|PCGF1|ANKHD1-EIF4EBP3,0,MyList
DisGeNET,35,C0085669,Acute leukemia,,-2.4,6.1,4.2,30337,639,31,4,13,6,1956|4363|7018|54882,EGFR|ABCC1|TF|ANKHD1,0,MyList
DisGeNET,35,C0011884,Diabetic Retinopathy,,-2.4,6.1,4.2,30337,644,31,4,13,6,1325|1956|6934|7378,CORT|EGFR|TCF7L2|UPP1,0,MyList
Cell Type Signatures,7,M41707,FAN OVARY CL5 HEALTHY SELECTABLE FOLLICLE THECAL CELL,,-2.4,9.2,4.7,30337,318,31,3,9.7,5.3,1958|5034|5516,EGR1|P4HB|PPP2CB,0,MyList
DisGeNET,35,C1328504,Hormone refractory prostate cancer,,-2.3,5.7,4,30337,683,31,4,13,6,688|1956|1958|6421,KLF5|EGFR|EGR1|SFPQ,0,MyList
DisGeNET,35,C0158266,Intervertebral Disc Degeneration,,-2.3,8.6,4.5,30337,342,31,3,9.7,5.3,688|1956|6934,KLF5|EGFR|TCF7L2,0,MyList
DisGeNET,35,C1318485,Liver regeneration disorder,,-2.3,8.5,4.5,30337,346,31,3,9.7,5.3,688|1956|1958,KLF5|EGFR|EGR1,0,MyList
DisGeNET,35,C3714636,Pneumonitis,,-2.3,5.6,3.9,30337,696,31,4,13,6,1956|1958|5034|5322,EGFR|EGR1|P4HB|PLA2G5,0,MyList
Transcription Factor Targets,16,M40851,ZNF490 TARGET GENES,,-2.3,8.4,4.4,30337,350,31,3,9.7,5.3,1956|6934|84759,EGFR|TCF7L2|PCGF1,0,MyList
DisGeNET,35,C0024115,Lung diseases,,-2.3,5.6,3.9,30337,700,31,4,13,6,1902|1956|1958|4363,LPAR1|EGFR|EGR1|ABCC1,0,MyList
DisGeNET,35,C0007786,Brain Ischemia,,-2.2,8.2,4.4,30337,358,31,3,9.7,5.3,1958|5034|7018,EGR1|P4HB|TF,0,MyList
DisGeNET,35,C0011311,Dengue Fever,,-2.2,8.2,4.4,30337,360,31,3,9.7,5.3,1956|5034|6934,EGFR|P4HB|TCF7L2,0,MyList
Cell Type Signatures,7,M39052,MANNO MIDBRAIN NEUROTYPES HOPC,,-2.2,8,4.3,30337,366,31,3,9.7,5.3,1956|1958|7018,EGFR|EGR1|TF,0,MyList
Transcription Factor Targets,16,M40788,NFXL1 TARGET GENES,,-2.2,8,4.3,30337,369,31,3,9.7,5.3,5034|6934|10905,P4HB|TCF7L2|MAN1A2,0,MyList
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-2.2,5.4,3.8,30337,731,31,4,13,6,688|1956|5034|6185,KLF5|EGFR|P4HB|RPN2,0,MyList
DisGeNET,35,C0220605,Adult Non-Hodgkin Lymphoma,,-2.2,7.9,4.3,30337,370,31,3,9.7,5.3,3587|4363|8994,IL10RA|ABCC1|LIMD1,0,MyList
DisGeNET,35,C0279671,Cervical Squamous Cell Carcinoma,,-2.2,7.9,4.3,30337,371,31,3,9.7,5.3,688|1956|3587,KLF5|EGFR|IL10RA,0,MyList
DisGeNET,35,C0220612,Childhood Non-Hodgkin Lymphoma,,-2.2,7.9,4.3,30337,371,31,3,9.7,5.3,3587|4363|8994,IL10RA|ABCC1|LIMD1,0,MyList
Cell Type Signatures,7,M41703,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-2.2,7.7,4.2,30337,380,31,3,9.7,5.3,5516|6421|8880,PPP2CB|SFPQ|FUBP1,0,MyList
DisGeNET,35,C0339573,"Glaucoma, Primary Open Angle",,-2.2,7.7,4.2,30337,382,31,3,9.7,5.3,1956|1958|6185,EGFR|EGR1|RPN2,0,MyList
DisGeNET,35,C0149678,Epstein-Barr Virus Infections,,-2.2,7.6,4.2,30337,384,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,MyList
Cell Type Signatures,7,M39037,FAN EMBRYONIC CTX OLIG,,-2.2,5.2,3.7,30337,754,31,4,13,6,1902|5516|7018|8994,LPAR1|PPP2CB|TF|LIMD1,0,MyList
DisGeNET,35,C0151744,Myocardial Ischemia,,-2.2,5.2,3.7,30337,756,31,4,13,6,1956|1958|5034|6934,EGFR|EGR1|P4HB|TCF7L2,0,MyList
DisGeNET,35,C0278595,Adult Fibrosarcoma,,-2.1,7.6,4.2,30337,387,31,3,9.7,5.3,1956|1958|55183,EGFR|EGR1|RIF1,0,MyList
DisGeNET,35,C0015672,Fatigue,,-2.1,5.2,3.7,30337,759,31,4,13,6,1956|4154|5034|6421,EGFR|MBNL1|P4HB|SFPQ,0,MyList
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-2.1,5.1,3.7,30337,765,31,4,13,6,1956|1958|5322|7018,EGFR|EGR1|PLA2G5|TF,0,MyList
DisGeNET,35,C1704272,Benign Prostatic Hyperplasia,,-2.1,5.1,3.7,30337,770,31,4,13,6,1902|1956|1958|3587,LPAR1|EGFR|EGR1|IL10RA,0,MyList
DisGeNET,35,C4721579,Secondary malignant neoplasm of colon and/or rectum,,-2.1,7.4,4.1,30337,397,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,MyList
