Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tau Protein Binding (GO:0048156)	1/39	0.05875726186108227	0.13777564850184806	0	0	17.483333333333334	49.55372022159112	PPP2CB
Pentosyltransferase Activity (GO:0016763)	1/39	0.05875726186108227	0.13777564850184806	0	0	17.483333333333334	49.55372022159112	UPP1
Chemokine Activity (GO:0008009)	1/46	0.06894365075528797	0.15627227504531938	0	0	14.75851851851852	39.471152501452366	KLF5
Chemokine Receptor Binding (GO:0042379)	1/50	0.07471646000262763	0.1587724775055837	0	0	13.551020408163266	35.15209038871121	KLF5
Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714)	1/50	0.07471646000262763	0.1587724775055837	0	0	13.551020408163266	35.15209038871121	EGFR
Double-Stranded DNA Binding (GO:0003690)	3/650	0.07846024166262336	0.16167564948661783	0	0	3.199712960918525	8.143791864696192	EGR1;KLF5;EGFR
Protein Serine/Threonine Phosphatase Activity (GO:0004722)	1/55	0.08188377576047076	0.16376755152094152	0	0	12.29320987654321	30.763197218330607	PPP2CB
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	1/59	0.08757891647548653	0.1657323212117544	0	0	11.443103448275862	27.86641704377016	ABCC1
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	4/1098	0.08774064064151704	0.1657323212117544	0	0	2.5560295212946036	6.219765765010692	TCF7L2;EGR1;KLF5;NR2E3
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	4/1122	0.0932658226266121	0.17140745780026007	0	0	2.497979195653614	5.925959930731847	TCF7L2;EGR1;KLF5;NR2E3
Double-Stranded RNA Binding (GO:0003725)	1/65	0.09605757528589014	0.17189250314317184	0	0	10.3671875	24.288324885251964	MBNL1
ATPase Binding (GO:0051117)	1/73	0.10724392850313601	0.1846757046097018	0	0	9.211574074074074	20.566214716689423	EGFR
Hormone Activity (GO:0005179)	1/74	0.10863276741747166	0.1846757046097018	0	0	9.084931506849315	20.166569167475306	CORT
Cytokine Receptor Activity (GO:0004896)	1/76	0.11140417537718053	0.1847679006255677	0	0	8.841777777777779	19.40408125999615	IL10RA
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	4/1225	0.11884310702162994	0.19241264946359132	0	0	2.2747596080929413	4.845126693441962	TCF7L2;EGR1;KLF5;NR2E3
Protein Kinase Activator Activity (GO:0030295)	1/88	0.12785833813457156	0.20219458123606665	0	0	7.617624521072797	15.668176630929226	EGFR
Single-Stranded DNA Binding (GO:0003697)	1/96	0.1386635571508699	0.21092124713399427	0	0	6.973333333333334	13.77724766471137	FUBP1
Protein Tyrosine Kinase Activity (GO:0004713)	1/99	0.14268202012005496	0.21092124713399427	0	0	6.758843537414966	13.16039270810627	EGFR
Histone Deacetylase Binding (GO:0042826)	1/99	0.14268202012005496	0.21092124713399427	0	0	6.758843537414966	13.16039270810627	SFPQ
Kinase Binding (GO:0019900)	2/460	0.15905502454311954	0.2227806336004752	0	0	2.9379611504291523	5.401456471467503	TCF7L2;EGFR
Phosphatase Binding (GO:0019902)	1/112	0.15988669182841242	0.2227806336004752	0	0	5.963363363363364	10.932573768600097	EGFR
Protein Phosphatase Binding (GO:0019903)	1/115	0.16380928941211412	0.2227806336004752	0	0	5.805555555555555	10.502554195166498	EGFR
Nuclear Receptor Binding (GO:0016922)	1/115	0.16380928941211412	0.2227806336004752	0	0	5.805555555555555	10.502554195166498	TCF7L2
G Protein-Coupled Receptor Binding (GO:0001664)	1/140	0.19581553454919778	0.26108737939893034	0	0	4.755395683453237	7.754063618028026	CORT
Cytokine Activity (GO:0005125)	1/178	0.2422058302138552	0.31673070104888756	0	0	3.727306967984934	5.28519968188763	KLF5
Actin Binding (GO:0003779)	1/183	0.24811355347730163	0.31833437049917945	0	0	3.623992673992674	5.051370177234049	P4HB
Protein Heterodimerization Activity (GO:0046982)	1/190	0.25630954145270624	0.32276016331081525	0	0	3.488536155202822	4.74918643748375	P4HB
Protein Homodimerization Activity (GO:0042803)	2/662	0.2739680030386963	0.3387240764842063	0	0	2.0176593521421107	2.6123522527524354	SFPQ;COQ9
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	1/228	0.2993154368110331	0.3634544589848259	0	0	2.898972099853157	3.496906226263745	TCF7L2
G Protein-Coupled Receptor Activity (GO:0004930)	1/250	0.3231029406632129	0.38545613973856974	0	0	2.639892904953146	2.9825095703436	LPAR1
Ubiquitin Protein Ligase Binding (GO:0031625)	1/271	0.34507900380044176	0.4038214917313373	0	0	2.4319753086419755	2.587577689319075	EGFR
mRNA Binding (GO:0003729)	1/282	0.35631308093941527	0.4038214917313373	0	0	2.3354685646500593	2.4100762611334585	FUBP1
DNA-binding Transcription Factor Binding (GO:0140297)	1/282	0.35631308093941527	0.4038214917313373	0	0	2.3354685646500593	2.4100762611334585	TCF7L2
Ubiquitin-Like Protein Ligase Binding (GO:0044389)	1/289	0.36336469911213326	0.40506228753483703	0	0	2.2778935185185185	2.306021558893061	EGFR
Cadherin Binding (GO:0045296)	1/319	0.39274832094126255	0.43075622296783633	0	0	2.059853249475891	1.9251105795717496	EGFR
Zinc Ion Binding (GO:0008270)	1/341	0.4134576720700629	0.43736357257010045	0	0	1.9244117647058823	1.6996407299295462	EGR1
Protein Serine/Threonine Kinase Activity (GO:0004674)	1/342	0.41438258068303047	0.43736357257010045	0	0	1.918670576735093	1.6902828217911179	EGFR
Calcium Ion Binding (GO:0005509)	1/346	0.4180681208390666	0.43736357257010045	0	0	1.896038647342995	1.6535559545233667	PLA2G5
Transition Metal Ion Binding (GO:0046914)	1/456	0.5110640313650097	0.5265508201942524	0	0	1.4295970695970697	0.9596318873819635	EGR1
Protein Kinase Binding (GO:0019901)	1/511	0.5519958444764161	0.5590727931016738	0	0	1.2718300653594772	0.7557401981368144	TCF7L2
Metal Ion Binding (GO:0046872)	1/521	0.5590727931016738	0.5590727931016738	0	0	1.2467307692307692	0.724943514705367	PLA2G5
