Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of DNA-templated Transcription (GO:0006355)	8/1922	0.007540505835280787	0.0922978249861948	0	0	3.2810867293625914	16.036199873185403	TCF7L2;EGR1;SFPQ;KLF5;HNRNPD;PCGF1;LIMD1;EGFR
Maintenance Of DNA Repeat Elements (GO:0043570)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	TCF7L2
Cardiolipin Acyl-Chain Remodeling (GO:0035965)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	PLA2G5
ERBB2-EGFR Signaling Pathway (GO:0038134)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	EGFR
Regulation Of Hormone Biosynthetic Process (GO:0046885)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	EGR1
Xenobiotic Transport Across Blood-Brain Barrier (GO:1990962)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	ABCC1
Response To Heparin (GO:0071503)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	EGR1
Insulin Processing (GO:0030070)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	P4HB
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	EGR1
Regulation Of Nitric Oxide Mediated Signal Transduction (GO:0010749)	1/5	0.007726694289035996	0.0922978249861948	0	0	166.375	809.0939625056958	EGFR
Regulation Of Epithelial Cell Proliferation (GO:0050678)	2/91	0.008738708384625295	0.0922978249861948	0	0	15.404881828748547	73.0190302211722	TCF7L2;EGFR
Positive Regulation Of Protein Kinase B Signaling (GO:0051897)	2/93	0.009111722662175992	0.0922978249861948	0	0	15.064797271693823	70.77733246775645	TCF7L2;EGFR
Positive Regulation Of Hormone Metabolic Process (GO:0032352)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	EGR1
Regulation Of Ketone Biosynthetic Process (GO:0010566)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	EGR1
Histone H2A-K119 Monoubiquitination (GO:0036353)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	PCGF1
Regulation Of Microtubule Binding (GO:1904526)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	PPP2CB
Response To Lead Ion (GO:0010288)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	PPP2CB
Negative Regulation Of Cardiocyte Differentiation (GO:1905208)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	EGFR
Locomotor Rhythm (GO:0045475)	1/6	0.009265092249714469	0.0922978249861948	0	0	133.09333333333333	623.0766346487915	EGR1
RNA Splicing (GO:0008380)	2/98	0.010074977542143497	0.0922978249861948	0	0	14.276580459770114	65.6394396936512	MBNL1;SFPQ
Osteoblast Development (GO:0002076)	1/7	0.010801182772692638	0.0922978249861948	0	0	110.90555555555555	502.1914056148727	LIMD1
Peptidyl-Proline Hydroxylation To 4-hydroxy-L-proline (GO:0018401)	1/7	0.010801182772692638	0.0922978249861948	0	0	110.90555555555555	502.1914056148727	P4HB
Regulation Of Oxidative Stress-Induced Cell Death (GO:1903201)	1/7	0.010801182772692638	0.0922978249861948	0	0	110.90555555555555	502.1914056148727	P4HB
Negative Regulation Of Circadian Rhythm (GO:0042754)	1/7	0.010801182772692638	0.0922978249861948	0	0	110.90555555555555	502.1914056148727	SFPQ
Positive Regulation Of MAPK Cascade (GO:0043410)	3/310	0.012027823320641578	0.0922978249861948	0	0	6.8620288506281995	30.333822942920527	LPAR1;PLA2G5;EGFR
Positive Regulation Of Opsonization (GO:1903028)	1/8	0.012334969042911155	0.0922978249861948	0	0	95.05714285714286	417.8062796500496	PLA2G5
Interleukin-12-Mediated Signaling Pathway (GO:0035722)	1/8	0.012334969042911155	0.0922978249861948	0	0	95.05714285714286	417.8062796500496	P4HB
Cytoskeleton Organization (GO:0007010)	2/111	0.012780541205787276	0.0922978249861948	0	0	12.565643783612781	54.784089372696045	RANBP10;LIMD1
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)	2/114	0.013445243384567655	0.0922978249861948	0	0	12.227216748768473	52.6886651292538	TCF7L2;LIMD1
Peptidyl-Serine Dephosphorylation (GO:0070262)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	PPP2CB
Positive Regulation Of Lipase Activity (GO:0060193)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	PLA2G5
Phosphatidylcholine Catabolic Process (GO:0034638)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	PLA2G5
Positive Regulation Of miRNA-mediated Gene Silencing (GO:2000637)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	LIMD1
Regulation Of Tau-Protein Kinase Activity (GO:1902947)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	EGR1
Insulin Metabolic Process (GO:1901142)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	P4HB
Arachidonate Transport (GO:1903963)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	PLA2G5
Arachidonic Acid Secretion (GO:0050482)	1/9	0.013866454289070039	0.0922978249861948	0	0	83.17083333333333	355.82833874131705	PLA2G5
CRD-mediated mRNA Stabilization (GO:0070934)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	HNRNPD
Peptidyl-Proline Hydroxylation (GO:0019511)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	P4HB
Cellular Response To Interleukin-12 (GO:0071349)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	P4HB
Positive Regulation Of Post-Transcriptional Gene Silencing By RNA (GO:1900370)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	LIMD1
Embryonic Appendage Morphogenesis (GO:0035113)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	MBNL1
Regulation Of Opsonization (GO:1903027)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	PLA2G5
Regulation Of Phospholipase Activity (GO:0010517)	1/10	0.015395641764484845	0.0922978249861948	0	0	73.92592592592592	308.5424792813036	PLA2G5
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	2/123	0.015527719451393446	0.0922978249861948	0	0	11.312624679395839	47.11853546818924	TCF7L2;EGFR
Macrophage Chemotaxis (GO:0048246)	1/11	0.016922534733464	0.0922978249861948	0	0	66.53	271.3831303578043	KLF5
Phagosome-Lysosome Fusion (GO:0090385)	1/11	0.016922534733464	0.0922978249861948	0	0	66.53	271.3831303578043	PLA2G5
P-body Assembly (GO:0033962)	1/11	0.016922534733464	0.0922978249861948	0	0	66.53	271.3831303578043	LIMD1
Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900152)	1/11	0.016922534733464	0.0922978249861948	0	0	66.53	271.3831303578043	HNRNPD
Macrophage Migration (GO:1905517)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	KLF5
Cardiolipin Metabolic Process (GO:0032048)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	PLA2G5
Negative Regulation Of Hippo Signaling (GO:0035331)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	LIMD1
Positive Regulation By Symbiont Of Entry Into Host (GO:0075294)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	P4HB
Quinone Biosynthetic Process (GO:1901663)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	COQ9
Icosanoid Secretion (GO:0032309)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	PLA2G5
Regulation Of Monooxygenase Activity (GO:0032768)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	EGFR
Positive Regulation Of Viral Entry Into Host Cell (GO:0046598)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	P4HB
Low-Density Lipoprotein Particle Remodeling (GO:0034374)	1/12	0.018447136470887412	0.0922978249861948	0	0	60.47878787878788	241.48249384895686	PLA2G5
Regulation Of Protein Kinase B Signaling (GO:0051896)	2/136	0.018763534739022474	0.0922978249861948	0	0	10.208440555841483	40.58712562810965	TCF7L2;EGFR
Negative Regulation Of DNA-templated Transcription (GO:0045892)	5/1025	0.019607294830568996	0.0922978249861948	0	0	3.572586726998492	14.046887972272826	TCF7L2;SFPQ;PCGF1;LIMD1;NR2E3
Negative Regulation Of Wnt Signaling Pathway (GO:0030178)	2/140	0.019811816927205333	0.0922978249861948	0	0	9.910544727636182	38.86397028129658	TCF7L2;LIMD1
Peptidyl-Tyrosine Autophosphorylation (GO:0038083)	1/13	0.019969450260865367	0.0922978249861948	0	0	55.43611111111111	216.95208467294643	EGFR
ERBB2 Signaling Pathway (GO:0038128)	1/13	0.019969450260865367	0.0922978249861948	0	0	55.43611111111111	216.95208467294643	EGFR
Ubiquinone Biosynthetic Process (GO:0006744)	1/13	0.019969450260865367	0.0922978249861948	0	0	55.43611111111111	216.95208467294643	COQ9
Response To UV-A (GO:0070141)	1/13	0.019969450260865367	0.0922978249861948	0	0	55.43611111111111	216.95208467294643	EGFR
Positive Regulation Of Transferase Activity (GO:0051347)	2/143	0.020613933088894545	0.09242647929411633	0	0	9.698214722426021	37.64641419311877	HNRNPD;EGFR
Pancreas Development (GO:0031016)	1/14	0.02148947938555657	0.09242647929411633	0	0	51.16923076923077	196.4996601316088	TCF7L2
Phagolysosome Assembly (GO:0001845)	1/14	0.02148947938555657	0.09242647929411633	0	0	51.16923076923077	196.4996601316088	PLA2G5
Ubiquinone Metabolic Process (GO:0006743)	1/14	0.02148947938555657	0.09242647929411633	0	0	51.16923076923077	196.4996601316088	COQ9
Histone H2A Monoubiquitination (GO:0035518)	1/14	0.02148947938555657	0.09242647929411633	0	0	51.16923076923077	196.4996601316088	PCGF1
Positive Regulation Of Cytoplasmic Translation (GO:2000767)	1/14	0.02148947938555657	0.09242647929411633	0	0	51.16923076923077	196.4996601316088	HNRNPD
Protein Glycosylation (GO:0006486)	2/147	0.02170437112711439	0.09242647929411633	0	0	9.428775267538644	36.114487307242925	GALNT14;RPN2
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	2/149	0.02225847944132517	0.09373293009180265	0	0	9.299554304480413	35.385103987868156	PPP2CB;TCF7L2
Regulation Of miRNA-mediated Gene Silencing (GO:0060964)	1/15	0.023007227131928758	0.09414132912666809	0	0	47.51190476190476	179.21238137059572	LIMD1
Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737)	1/15	0.023007227131928758	0.09414132912666809	0	0	47.51190476190476	179.21238137059572	EGFR
Cellular Response To Organic Cyclic Compound (GO:0071407)	2/152	0.023100642767229902	0.09414132912666809	0	0	9.112183908045978	34.3337506956386	EGR1;EGFR
Protein Alpha-1,2-Demannosylation (GO:0036508)	1/16	0.024522696784534302	0.09578204461021775	0	0	44.34222222222222	164.42788585185278	MAN1A2
Regulation Of Steroid Biosynthetic Process (GO:0050810)	1/16	0.024522696784534302	0.09578204461021775	0	0	44.34222222222222	164.42788585185278	EGR1
Alternative mRNA Splicing, Via Spliceosome (GO:0000380)	1/16	0.024522696784534302	0.09578204461021775	0	0	44.34222222222222	164.42788585185278	SFPQ
Positive Regulation Of Telomere Capping (GO:1904355)	1/16	0.024522696784534302	0.09578204461021775	0	0	44.34222222222222	164.42788585185278	HNRNPD
Regulation Of Macromolecule Metabolic Process (GO:0060255)	2/162	0.02600161132240305	0.09578204461021775	0	0	8.538362068965517	31.161578618956735	FUBP1;HNRNPD
Regulation Of Protein Sumoylation (GO:0033233)	1/17	0.026035891626597026	0.09578204461021775	0	0	41.56875	151.65440789573447	EGR1
Peptidyl-Threonine Dephosphorylation (GO:0035970)	1/17	0.026035891626597026	0.09578204461021775	0	0	41.56875	151.65440789573447	PPP2CB
Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744)	1/17	0.026035891626597026	0.09578204461021775	0	0	41.56875	151.65440789573447	PLA2G5
Transepithelial Transport (GO:0070633)	1/17	0.026035891626597026	0.09578204461021775	0	0	41.56875	151.65440789573447	ABCC1
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	2/163	0.02629951756146129	0.09578204461021775	0	0	8.484900406939387	30.86980440072324	CORT;LPAR1
Maintenance Of Gastrointestinal Epithelium (GO:0030277)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	IL10RA
Positive Regulation Of DNA Replication (GO:0045740)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	EGFR
ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	LIMD1
Icosanoid Biosynthetic Process (GO:0046456)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	PLA2G5
Negative Regulation Of ERBB Signaling Pathway (GO:1901185)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	EGFR
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031)	1/18	0.027546814940669486	0.09578204461021775	0	0	39.12156862745098	140.51952455455398	EGFR
Nervous System Development (GO:0007399)	3/433	0.028931338752863463	0.09706217730720394	0	0	4.868521594684386	17.24834380371962	MBNL1;LPAR1;EGFR
Protein Insertion Into Membrane (GO:0051205)	1/19	0.02905547000861942	0.09706217730720394	0	0	36.946296296296296	130.736261970552	EGFR
N-glycan Processing (GO:0006491)	1/19	0.02905547000861942	0.09706217730720394	0	0	36.946296296296296	130.736261970552	MAN1A2
Leukotriene Biosynthetic Process (GO:0019370)	1/19	0.02905547000861942	0.09706217730720394	0	0	36.946296296296296	130.736261970552	PLA2G5
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	4/763	0.029195483411665567	0.09706217730720394	0	0	3.749573024935344	13.25002090317636	TCF7L2;SFPQ;PCGF1;NR2E3
Cellular Response To Estradiol Stimulus (GO:0071392)	1/20	0.030561860107418466	0.09733567210682015	0	0	35.0	122.08008572013848	EGFR
Positive Regulation Of Phospholipase Activity (GO:0010518)	1/20	0.030561860107418466	0.09733567210682015	0	0	35.0	122.08008572013848	PLA2G5
Xenobiotic Transport (GO:0042908)	1/20	0.030561860107418466	0.09733567210682015	0	0	35.0	122.08008572013848	ABCC1
Leukotriene Metabolic Process (GO:0006691)	1/20	0.030561860107418466	0.09733567210682015	0	0	35.0	122.08008572013848	PLA2G5
Limb Morphogenesis (GO:0035108)	1/20	0.030561860107418466	0.09733567210682015	0	0	35.0	122.08008572013848	MBNL1
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	2/179	0.03125330916806932	0.09870836812248561	0	0	7.711669588934346	26.725793593388094	PLA2G5;EGFR
Response To Cadmium Ion (GO:0046686)	1/21	0.032065988516399045	0.09939233102129243	0	0	33.248333333333335	114.37291539918965	EGFR
Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010804)	1/21	0.032065988516399045	0.09939233102129243	0	0	33.248333333333335	114.37291539918965	PPP2CB
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	7/2028	0.0325529572629523	0.09939233102129243	0	0	2.5902193633514763	8.871208784046104	TCF7L2;EGR1;SFPQ;KLF5;PCGF1;NR2E3;EGFR
Phosphate-Containing Compound Metabolic Process (GO:0006796)	2/184	0.03287187288722958	0.09939233102129243	0	0	7.497915877226222	25.606416790618653	PLA2G5;LIMD1
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	3/456	0.033008414459150114	0.09939233102129243	0	0	4.6158940397351	15.744781180041503	TCF7L2;SFPQ;LIMD1
Cellular Response To Cadmium Ion (GO:0071276)	1/22	0.03356785849795628	0.09939233102129243	0	0	31.663492063492065	107.4717897739846	EGFR
Regulation Of Telomere Capping (GO:1904353)	1/22	0.03356785849795628	0.09939233102129243	0	0	31.663492063492065	107.4717897739846	HNRNPD
Positive Regulation Of Viral Life Cycle (GO:1903902)	1/22	0.03356785849795628	0.09939233102129243	0	0	31.663492063492065	107.4717897739846	P4HB
Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059)	1/23	0.03506747333209365	0.10145475109056103	0	0	30.222727272727273	101.26068146954859	EGFR
Protein N-linked Glycosylation Via Asparagine (GO:0018279)	1/23	0.03506747333209365	0.10145475109056103	0	0	30.222727272727273	101.26068146954859	RPN2
Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)	1/23	0.03506747333209365	0.10145475109056103	0	0	30.222727272727273	101.26068146954859	HNRNPD
Regulation Of Cytoplasmic Translation (GO:2000765)	1/24	0.03656483627172508	0.10341845482823736	0	0	28.907246376811596	95.64448851318153	HNRNPD
Response To Hexose (GO:0009746)	1/24	0.03656483627172508	0.10341845482823736	0	0	28.907246376811596	95.64448851318153	TCF7L2
Lipid Translocation (GO:0034204)	1/24	0.03656483627172508	0.10341845482823736	0	0	28.907246376811596	95.64448851318153	ABCC1
Positive Regulation Of Gene Expression (GO:0010628)	3/480	0.037569226399923765	0.1054721244857119	0	0	4.378256963162624	14.367556748609127	EGR1;FUBP1;HNRNPD
Regulation Of Hippo Signaling (GO:0035330)	1/25	0.03805995059128532	0.10606412701542012	0	0	27.70138888888889	90.5445579257637	LIMD1
miRNA-mediated Gene Silencing (GO:0035195)	1/26	0.03955281953600642	0.10877948370552086	0	0	26.592	85.8953057509563	LIMD1
Regulation Of MAPK Cascade (GO:0043408)	2/204	0.03966628721748877	0.10877948370552086	0	0	6.748719699556163	21.77983021931005	LPAR1;EGFR
Negative Regulation Of Cell Differentiation (GO:0045596)	2/207	0.040728199424852236	0.10877948370552086	0	0	6.648948696383515	21.282184814208115	LIMD1;EGFR
Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)	1/27	0.041043446358547446	0.10877948370552086	0	0	25.567948717948717	81.6416333934617	EGFR
Glycerophospholipid Catabolic Process (GO:0046475)	1/27	0.041043446358547446	0.10877948370552086	0	0	25.567948717948717	81.6416333934617	PLA2G5
In Utero Embryonic Development (GO:0001701)	1/27	0.041043446358547446	0.10877948370552086	0	0	25.567948717948717	81.6416333934617	MBNL1
Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C-activating G Protein-Coupled Signaling Pathway (GO:0051482)	1/27	0.041043446358547446	0.10877948370552086	0	0	25.567948717948717	81.6416333934617	LPAR1
Regulation Of Nitric-Oxide Synthase Activity (GO:0050999)	1/28	0.04253183431893138	0.11194142504774302	0	0	24.619753086419752	77.73693045847051	EGFR
Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320)	1/29	0.04401798665976609	0.11505390995897483	0	0	23.739285714285714	74.14151494993529	EGR1
Positive Regulation Of Phosphate Metabolic Process (GO:0045937)	1/30	0.0455019066193127	0.11638420540286276	0	0	22.919540229885058	70.82140338003367	EGFR
Response To Epidermal Growth Factor (GO:0070849)	1/30	0.0455019066193127	0.11638420540286276	0	0	22.919540229885058	70.82140338003367	EGFR
Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743)	1/30	0.0455019066193127	0.11638420540286276	0	0	22.919540229885058	70.82140338003367	PLA2G5
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	3/525	0.046953367367831754	0.11638420540286276	0	0	3.991584564860427	12.20866196100851	TCF7L2;LPAR1;EGFR
Phospholipid Translocation (GO:0045332)	1/31	0.04698359743176254	0.11638420540286276	0	0	22.154444444444444	67.74733246608147	ABCC1
Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	1/31	0.04698359743176254	0.11638420540286276	0	0	22.154444444444444	67.74733246608147	EGFR
Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)	1/31	0.04698359743176254	0.11638420540286276	0	0	22.154444444444444	67.74733246608147	LPAR1
Response To Estradiol (GO:0032355)	1/31	0.04698359743176254	0.11638420540286276	0	0	22.154444444444444	67.74733246608147	EGFR
Positive Regulation Of Protein Modification Process (GO:0031401)	2/225	0.04732267452887419	0.11646294575612544	0	0	6.106695531158188	18.63009739758694	EGR1;EGFR
Chromatin Remodeling (GO:0006338)	2/228	0.048457855408756044	0.11774038862653237	0	0	6.02471772963076	18.237186987599365	SFPQ;PCGF1
Negative Regulation Of Osteoblast Differentiation (GO:0045668)	1/32	0.048463062337042354	0.11774038862653237	0	0	21.438709677419354	64.89397456016435	LIMD1
Positive Regulation Of Organelle Organization (GO:0010638)	1/34	0.051415327328444255	0.12333170289544539	0	0	20.13737373737374	59.76407945997836	PLA2G5
Embryonic Limb Morphogenesis (GO:0030326)	1/34	0.051415327328444255	0.12333170289544539	0	0	20.13737373737374	59.76407945997836	MBNL1
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	1/35	0.052888133852117436	0.1260666838361793	0	0	19.544117647058822	57.45142461157597	P4HB
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	3/557	0.05427397558736369	0.12792094771839987	0	0	3.7548349664775658	10.940501834343324	EGR1;HNRNPD;EGFR
Negative Regulation Of T Cell Proliferation (GO:0042130)	1/36	0.05435872736369502	0.12792094771839987	0	0	18.984761904761903	55.2864763029152	PLA2G5
Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	2/244	0.05467861089810232	0.12792094771839987	0	0	5.62182958107723	16.33862589447381	PLA2G5;EGFR
Positive Regulation Of Immune Effector Process (GO:0002699)	1/37	0.05582711106215124	0.12823318237912315	0	0	18.456481481481482	53.25609732919314	PLA2G5
Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)	1/37	0.05582711106215124	0.12823318237912315	0	0	18.456481481481482	53.25609732919314	IL10RA
Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)	1/37	0.05582711106215124	0.12823318237912315	0	0	18.456481481481482	53.25609732919314	IL10RA
Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)	1/38	0.05729328816000485	0.1292509298371538	0	0	17.956756756756757	51.348635190815486	TCF7L2
Regulation Of Telomere Maintenance (GO:0032204)	1/38	0.05729328816000485	0.1292509298371538	0	0	17.956756756756757	51.348635190815486	HNRNPD
Import Into Cell (GO:0098657)	1/38	0.05729328816000485	0.1292509298371538	0	0	17.956756756756757	51.348635190815486	IL10RA
Carboxylic Acid Transmembrane Transport (GO:1905039)	1/39	0.05875726186108227	0.1302280833061414	0	0	17.483333333333334	49.55372022159112	ABCC1
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	1/39	0.05875726186108227	0.1302280833061414	0	0	17.483333333333334	49.55372022159112	SFPQ
Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	1/39	0.05875726186108227	0.1302280833061414	0	0	17.483333333333334	49.55372022159112	PLA2G5
Cytokine-Mediated Signaling Pathway (GO:0019221)	2/257	0.05993132736716706	0.131166749433051	0	0	5.331710615280595	15.006397655337192	EGR1;P4HB
Positive Regulation Of Insulin Secretion (GO:0032024)	1/40	0.06021903535976484	0.131166749433051	0	0	17.034188034188034	47.86209557175929	TCF7L2
Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	1/40	0.06021903535976484	0.131166749433051	0	0	17.034188034188034	47.86209557175929	EGFR
Lymphocyte Migration (GO:0072676)	1/41	0.0616786118590254	0.13132693199196982	0	0	16.6075	46.2654733568564	KLF5
Regulation Of Chemokine Production (GO:0032642)	1/41	0.0616786118590254	0.13132693199196982	0	0	16.6075	46.2654733568564	EGR1
Negative Regulation Of mRNA Catabolic Process (GO:1902373)	1/41	0.0616786118590254	0.13132693199196982	0	0	16.6075	46.2654733568564	HNRNPD
O-glycan Processing (GO:0016266)	1/41	0.0616786118590254	0.13132693199196982	0	0	16.6075	46.2654733568564	GALNT14
