Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EGFR Interacts With Phospholipase C-gamma R-HSA-212718	1/9	0.013866454289070039	0.11011901704363988	0	0	83.17083333333333	355.82833874131705	EGFR
GPCR Downstream Signaling R-HSA-388396	4/619	0.014734178774091113	0.11011901704363988	0	0	4.662210177657332	19.66326956469239	PPP2CB;CORT;LPAR1;EGFR
MASTL Facilitates Mitotic Progression R-HSA-2465910	1/10	0.015395641764484845	0.11011901704363988	0	0	73.92592592592592	308.5424792813036	PPP2CB
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	2/123	0.015527719451393446	0.11011901704363988	0	0	11.312624679395839	47.11853546818924	TF;P4HB
Pyrimidine Salvage R-HSA-73614	1/11	0.016922534733464	0.11011901704363988	0	0	66.53	271.3831303578043	UPP1
GRB2 Events In EGFR Signaling R-HSA-179812	1/12	0.018447136470887412	0.11011901704363988	0	0	60.47878787878788	241.48249384895686	EGFR
Pyrimidine Catabolism R-HSA-73621	1/12	0.018447136470887412	0.11011901704363988	0	0	60.47878787878788	241.48249384895686	UPP1
Regulation Of Glycolysis By Fructose 2,6-Bisphosphate Metabolism R-HSA-9634600	1/12	0.018447136470887412	0.11011901704363988	0	0	60.47878787878788	241.48249384895686	PPP2CB
TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910	1/13	0.019969450260865367	0.11011901704363988	0	0	55.43611111111111	216.95208467294643	EGFR
Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501	1/13	0.019969450260865367	0.11011901704363988	0	0	55.43611111111111	216.95208467294643	PPP2CB
SHC1 Events In EGFR Signaling R-HSA-180336	1/13	0.019969450260865367	0.11011901704363988	0	0	55.43611111111111	216.95208467294643	EGFR
ERBB2 Activates PTK6 Signaling R-HSA-8847993	1/13	0.019969450260865367	0.11011901704363988	0	0	55.43611111111111	216.95208467294643	EGFR
ERKs Are Inactivated R-HSA-202670	1/13	0.019969450260865367	0.11011901704363988	0	0	55.43611111111111	216.95208467294643	PPP2CB
Clathrin-mediated Endocytosis R-HSA-8856828	2/142	0.02034505632791433	0.11011901704363988	0	0	9.767980295566502	38.045475721512574	TF;EGFR
Signaling By GPCR R-HSA-372790	4/689	0.020999579733478047	0.11011901704363988	0	0	4.170640713706407	16.112239640862523	PPP2CB;CORT;LPAR1;EGFR
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337	1/14	0.02148947938555657	0.11011901704363988	0	0	51.16923076923077	196.4996601316088	PPP2CB
Constitutive Signaling By EGFRvIII R-HSA-5637810	1/14	0.02148947938555657	0.11011901704363988	0	0	51.16923076923077	196.4996601316088	EGFR
Lysosphingolipid And LPA Receptors R-HSA-419408	1/14	0.02148947938555657	0.11011901704363988	0	0	51.16923076923077	196.4996601316088	LPAR1
Repression Of WNT Target Genes R-HSA-4641265	1/14	0.02148947938555657	0.11011901704363988	0	0	51.16923076923077	196.4996601316088	TCF7L2
Cytokine Signaling In Immune System R-HSA-1280215	4/702	0.022319848934905885	0.11011901704363988	0	0	4.090204817998514	15.552099515589019	PPP2CB;EGR1;IL10RA;P4HB
GRB2 Events In ERBB2 Signaling R-HSA-1963640	1/15	0.023007227131928758	0.11011901704363988	0	0	47.51190476190476	179.21238137059572	EGFR
CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747	1/15	0.023007227131928758	0.11011901704363988	0	0	47.51190476190476	179.21238137059572	PPP2CB
Signaling By ERBB2 ECD Mutants R-HSA-9665348	1/15	0.023007227131928758	0.11011901704363988	0	0	47.51190476190476	179.21238137059572	EGFR
ERBB2 Regulates Cell Motility R-HSA-6785631	1/15	0.023007227131928758	0.11011901704363988	0	0	47.51190476190476	179.21238137059572	EGFR
Spry Regulation Of FGF Signaling R-HSA-1295596	1/16	0.024522696784534302	0.11011901704363988	0	0	44.34222222222222	164.42788585185278	PPP2CB
PI3K Events In ERBB2 Signaling R-HSA-1963642	1/16	0.024522696784534302	0.11011901704363988	0	0	44.34222222222222	164.42788585185278	EGFR
Plasma Lipoprotein Assembly R-HSA-8963898	1/16	0.024522696784534302	0.11011901704363988	0	0	44.34222222222222	164.42788585185278	P4HB
Heme Degradation R-HSA-189483	1/16	0.024522696784534302	0.11011901704363988	0	0	44.34222222222222	164.42788585185278	ABCC1
GAB1 Signalosome R-HSA-180292	1/17	0.026035891626597026	0.11011901704363988	0	0	41.56875	151.65440789573447	EGFR
Acyl Chain Remodelling Of PI R-HSA-1482922	1/17	0.026035891626597026	0.11011901704363988	0	0	41.56875	151.65440789573447	PLA2G5
Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907	1/17	0.026035891626597026	0.11011901704363988	0	0	41.56875	151.65440789573447	EGFR
Platelet Sensitization By LDL R-HSA-432142	1/17	0.026035891626597026	0.11011901704363988	0	0	41.56875	151.65440789573447	PPP2CB
Beta-catenin Phosphorylation Cascade R-HSA-196299	1/17	0.026035891626597026	0.11011901704363988	0	0	41.56875	151.65440789573447	PPP2CB
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	3/424	0.027414611849045385	0.11103214733939384	0	0	4.974889718357652	17.893082016947847	PPP2CB;TCF7L2;EGFR
Acyl Chain Remodelling Of PG R-HSA-1482925	1/18	0.027546814940669486	0.11103214733939384	0	0	39.12156862745098	140.51952455455398	PLA2G5
Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382	1/18	0.027546814940669486	0.11103214733939384	0	0	39.12156862745098	140.51952455455398	EGFR
Metabolism Of Cofactors R-HSA-8978934	1/19	0.02905547000861942	0.11103214733939384	0	0	36.946296296296296	130.736261970552	COQ9
Signal Transduction By L1 R-HSA-445144	1/20	0.030561860107418466	0.11103214733939384	0	0	35.0	122.08008572013848	EGFR
Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	ABCC1
Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	TCF7L2
CTLA4 Inhibitory Signaling R-HSA-389513	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	PPP2CB
Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	ABCC1
SHC1 Events In ERBB2 Signaling R-HSA-1250196	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	EGFR
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	1/21	0.032065988516399045	0.11103214733939384	0	0	33.248333333333335	114.37291539918965	EGFR
Cellular Response To Chemical Stress R-HSA-9711123	2/182	0.0322205062736309	0.11103214733939384	0	0	7.581992337164751	26.04529756893425	ABCC1;P4HB
Signaling By Interleukins R-HSA-449147	3/453	0.032460273189451806	0.11103214733939384	0	0	4.647380952380952	15.930005688621698	PPP2CB;IL10RA;P4HB
Metabolism Of Vitamins And Cofactors R-HSA-196854	2/186	0.033528451818076864	0.11103214733939384	0	0	7.4156671664167915	25.178866289439743	ABCC1;COQ9
Acyl Chain Remodelling Of PS R-HSA-1482801	1/22	0.03356785849795628	0.11103214733939384	0	0	31.663492063492065	107.4717897739846	PLA2G5
E2F Mediated Regulation Of DNA Replication R-HSA-113510	1/22	0.03356785849795628	0.11103214733939384	0	0	31.663492063492065	107.4717897739846	PPP2CB
ERK/MAPK Targets R-HSA-198753	1/22	0.03356785849795628	0.11103214733939384	0	0	31.663492063492065	107.4717897739846	PPP2CB
Nucleotide Salvage R-HSA-8956321	1/23	0.03506747333209365	0.11158485514263196	0	0	30.222727272727273	101.26068146954859	UPP1
Incretin Synthesis, Secretion, And Inactivation R-HSA-400508	1/24	0.03656483627172508	0.11158485514263196	0	0	28.907246376811596	95.64448851318153	TCF7L2
DARPP-32 Events R-HSA-180024	1/24	0.03656483627172508	0.11158485514263196	0	0	28.907246376811596	95.64448851318153	PPP2CB
Signaling By EGFR In Cancer R-HSA-1643713	1/24	0.03656483627172508	0.11158485514263196	0	0	28.907246376811596	95.64448851318153	EGFR
Signaling By ERBB2 KD Mutants R-HSA-9664565	1/24	0.03656483627172508	0.11158485514263196	0	0	28.907246376811596	95.64448851318153	EGFR
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638	1/24	0.03656483627172508	0.11158485514263196	0	0	28.907246376811596	95.64448851318153	EGFR
TCF Dependent Signaling In Response To WNT R-HSA-201681	2/198	0.037575365000100946	0.11158485514263196	0	0	6.9574243490499645	22.830138383092528	PPP2CB;TCF7L2
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	1/25	0.03805995059128532	0.11158485514263196	0	0	27.70138888888889	90.5445579257637	PPP2CB
NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507	1/25	0.03805995059128532	0.11158485514263196	0	0	27.70138888888889	90.5445579257637	EGFR
Signaling By ERBB2 In Cancer R-HSA-1227990	1/25	0.03805995059128532	0.11158485514263196	0	0	27.70138888888889	90.5445579257637	EGFR
Acyl Chain Remodelling Of PC R-HSA-1482788	1/27	0.041043446358547446	0.1170787686414397	0	0	25.567948717948717	81.6416333934617	PLA2G5
G Alpha (Q) Signaling Events R-HSA-416476	2/212	0.042522020870896536	0.1170787686414397	0	0	6.488998357963875	20.49052554384947	LPAR1;EGFR
Paracetamol ADME R-HSA-9753281	1/28	0.04253183431893138	0.1170787686414397	0	0	24.619753086419752	77.73693045847051	ABCC1
Metabolism Of Porphyrins R-HSA-189445	1/28	0.04253183431893138	0.1170787686414397	0	0	24.619753086419752	77.73693045847051	ABCC1
Acyl Chain Remodelling Of PE R-HSA-1482839	1/29	0.04401798665976609	0.1170787686414397	0	0	23.739285714285714	74.14151494993529	PLA2G5
Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262	1/29	0.04401798665976609	0.1170787686414397	0	0	23.739285714285714	74.14151494993529	PPP2CB
Myogenesis R-HSA-525793	1/29	0.04401798665976609	0.1170787686414397	0	0	23.739285714285714	74.14151494993529	TCF7L2
Downregulation Of ERBB2 Signaling R-HSA-8863795	1/29	0.04401798665976609	0.1170787686414397	0	0	23.739285714285714	74.14151494993529	EGFR
Negative Regulation Of FGFR3 Signaling R-HSA-5654732	1/29	0.04401798665976609	0.1170787686414397	0	0	23.739285714285714	74.14151494993529	PPP2CB
MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282	1/30	0.0455019066193127	0.11979073375288446	0	0	22.919540229885058	70.82140338003367	PPP2CB
Transferrin Endocytosis And Recycling R-HSA-917977	1/31	0.04698359743176254	0.12001750631083896	0	0	22.154444444444444	67.74733246608147	TF
EGFR Downregulation R-HSA-182971	1/31	0.04698359743176254	0.12001750631083896	0	0	22.154444444444444	67.74733246608147	EGFR
Negative Regulation Of FGFR4 Signaling R-HSA-5654733	1/31	0.04698359743176254	0.12001750631083896	0	0	22.154444444444444	67.74733246608147	PPP2CB
RAF Activation R-HSA-5673000	1/32	0.048463062337042354	0.12258304002898948	0	0	21.438709677419354	64.89397456016435	PPP2CB
Plasma Lipoprotein Remodeling R-HSA-8963899	1/33	0.04994030455802936	0.1238903709228036	0	0	20.767708333333335	62.2393036656038	P4HB
Negative Regulation Of FGFR1 Signaling R-HSA-5654726	1/33	0.04994030455802936	0.1238903709228036	0	0	20.767708333333335	62.2393036656038	PPP2CB
Detoxification Of Reactive Oxygen Species R-HSA-3299685	1/34	0.051415327328444255	0.12514296651640205	0	0	20.13737373737374	59.76407945997836	P4HB
Negative Regulation Of FGFR2 Signaling R-HSA-5654727	1/34	0.051415327328444255	0.12514296651640205	0	0	20.13737373737374	59.76407945997836	PPP2CB
Nucleotide Catabolism R-HSA-8956319	1/35	0.052888133852117436	0.12752465919482522	0	0	19.544117647058822	57.45142461157597	UPP1
Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260	1/36	0.05435872736369502	0.12866561155810383	0	0	18.984761904761903	55.2864763029152	EGFR
Regulation Of TP53 Degradation R-HSA-6804757	1/36	0.05435872736369502	0.12866561155810383	0	0	18.984761904761903	55.2864763029152	PPP2CB
Regulation Of TP53 Expression And Degradation R-HSA-6806003	1/37	0.05582711106215124	0.13093995140031836	0	0	18.456481481481482	53.25609732919314	PPP2CB
Synthesis Of PA R-HSA-1483166	1/39	0.05875726186108227	0.13415374831999316	0	0	17.483333333333334	49.55372022159112	PLA2G5
Transcriptional Regulation By VENTX R-HSA-8853884	1/39	0.05875726186108227	0.13415374831999316	0	0	17.483333333333334	49.55372022159112	TCF7L2
Signaling By FGFR3 R-HSA-5654741	1/39	0.05875726186108227	0.13415374831999316	0	0	17.483333333333334	49.55372022159112	PPP2CB
Post-translational Protein Modification R-HSA-597592	5/1383	0.059501274852579895	0.1346607799295229	0	0	2.5944791782963046	7.320991185199879	GALNT14;TF;RPN2;MAN1A2;P4HB
Signaling By FGFR4 R-HSA-5654743	1/40	0.06021903535976484	0.13510009672016807	0	0	17.034188034188034	47.86209557175929	PPP2CB
Negative Regulation Of MAPK Pathway R-HSA-5675221	1/41	0.0616786118590254	0.13718174016921167	0	0	16.6075	46.2654733568564	PPP2CB
Intra-Golgi Traffic R-HSA-6811438	1/42	0.06313599453486288	0.1380431066948697	0	0	16.201626016260164	44.75641243015854	MAN1A2
Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402	1/42	0.06313599453486288	0.1380431066948697	0	0	16.201626016260164	44.75641243015854	TCF7L2
Membrane Trafficking R-HSA-199991	3/599	0.06467366235745864	0.14021684780020444	0	0	3.482682166826462	9.536981142057476	TF;MAN1A2;EGFR
RAF/MAP Kinase Cascade R-HSA-5673001	2/271	0.06577637806250268	0.140821498580314	0	0	5.050634534034098	13.745274111520155	PPP2CB;EGFR
Interleukin-12 Signaling R-HSA-9020591	1/44	0.06604419119464339	0.140821498580314	0	0	15.446511627906977	41.97483258957492	P4HB
Metabolism Of Proteins R-HSA-392499	6/1890	0.06689387556291174	0.14146409750189531	0	0	2.3038216560509555	6.23102631688998	TCF7L2;GALNT14;TF;RPN2;MAN1A2;P4HB
Interleukin-10 Signaling R-HSA-6783783	1/45	0.06749501152086855	0.14157490221450478	0	0	15.094696969696969	40.69079857995566	IL10RA
MAPK1/MAPK3 Signaling R-HSA-5684996	2/277	0.06833866027858161	0.142188502837694	0	0	4.938934169278997	13.2525414812248	PPP2CB;EGFR
Cyclin D Associated Events In G1 R-HSA-69231	1/47	0.07039011205855722	0.14435568293708032	0	0	14.43695652173913	38.311387316676615	PPP2CB
Asparagine N-linked Glycosylation R-HSA-446203	2/282	0.07049928701578341	0.14435568293708032	0	0	4.849507389162562	12.861634030807885	RPN2;MAN1A2
Signaling By EGFR R-HSA-177929	1/49	0.0732765135248936	0.14542569607248115	0	0	13.834027777777777	36.15544100556018	EGFR
Signaling By ERBB2 R-HSA-1227986	1/49	0.0732765135248936	0.14542569607248115	0	0	13.834027777777777	36.15544100556018	EGFR
Signaling By FGFR1 R-HSA-5654736	1/49	0.0732765135248936	0.14542569607248115	0	0	13.834027777777777	36.15544100556018	PPP2CB
Signaling By NOTCH3 R-HSA-9012852	1/49	0.0732765135248936	0.14542569607248115	0	0	13.834027777777777	36.15544100556018	EGFR
Vesicle-mediated Transport R-HSA-5653656	3/637	0.07482898402165067	0.1473731135693578	0	0	3.2675191527715186	8.47120672114328	TF;MAN1A2;EGFR
Signaling By WNT R-HSA-195721	2/294	0.0757761223455797	0.14810787549363305	0	0	4.647378365611715	11.990106263924373	PPP2CB;TCF7L2
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	1/52	0.0775898601982381	0.1505126611364318	0	0	13.018300653594771	33.27892316228608	EGFR
Nuclear Receptor Transcription Pathway R-HSA-383280	1/53	0.07902332022213049	0.15214937774111692	0	0	12.767307692307693	32.40358367230175	NR2E3
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	1/54	0.08045462435891494	0.15262715503382393	0	0	12.525786163522012	31.56575680442027	HNRNPD
Interleukin-12 Family Signaling R-HSA-447115	1/54	0.08045462435891494	0.15262715503382393	0	0	12.525786163522012	31.56575680442027	P4HB
Cytoprotection By HMOX1 R-HSA-9707564	1/57	0.08473563284794243	0.15691222535191338	0	0	11.852976190476191	29.2557418815663	ABCC1
Signaling By ERBB4 R-HSA-1236394	1/57	0.08473563284794243	0.15691222535191338	0	0	11.852976190476191	29.2557418815663	EGFR
Late SARS-CoV-2 Infection Events R-HSA-9772573	1/58	0.08615834477824497	0.15691222535191338	0	0	11.644444444444444	28.547152703267713	RPN2
MAPK Family Signaling Cascades R-HSA-5683057	2/318	0.08669568025286124	0.15691222535191338	0	0	4.289175032736797	10.488539401284	PPP2CB;EGFR
O-linked Glycosylation Of Mucins R-HSA-913709	1/59	0.08757891647548653	0.15691222535191338	0	0	11.443103448275862	27.86641704377016	GALNT14
Arachidonic Acid Metabolism R-HSA-2142753	1/59	0.08757891647548653	0.15691222535191338	0	0	11.443103448275862	27.86641704377016	ABCC1
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222	1/59	0.08757891647548653	0.15691222535191338	0	0	11.443103448275862	27.86641704377016	KLF5
Iron Uptake And Transport R-HSA-917937	1/59	0.08757891647548653	0.15691222535191338	0	0	11.443103448275862	27.86641704377016	TF
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	1/60	0.0889973510131811	0.15835390732000498	0	0	11.248587570621469	27.21200570122755	TCF7L2
Ca2+ Pathway R-HSA-4086398	1/61	0.09041365153331592	0.15847583739181342	0	0	11.060555555555556	26.582496915567003	TCF7L2
Regulation Of PTEN Gene Transcription R-HSA-8943724	1/61	0.09041365153331592	0.15847583739181342	0	0	11.060555555555556	26.582496915567003	EGR1
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	0.0909086198991798	0.15847583739181342	0	0	4.168488063660478	9.995619420014958	CORT;LPAR1
MAP Kinase Activation R-HSA-450294	1/62	0.09182782112653406	0.15900387819225362	0	0	10.878688524590164	25.97656722459872	PPP2CB
Signaling By MET R-HSA-6806834	1/63	0.09323986288089035	0.1601561622263145	0	0	10.702688172043011	25.39298321204175	RANBP10
Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176	1/64	0.09464977990360633	0.1601561622263145	0	0	10.532275132275132	24.830594069685887	LIMD1
Hedgehog Ligand Biogenesis R-HSA-5358346	1/64	0.09464977990360633	0.1601561622263145	0	0	10.532275132275132	24.830594069685887	P4HB
Transport Of Small Molecules R-HSA-382551	3/706	0.09497632876211674	0.1601561622263145	0	0	2.936293436293436	6.912409388820128	ABCC1;TF;P4HB
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	1/67	0.09886681344336717	0.16563401213239437	0	0	10.052020202020202	23.26019032662989	P4HB
Cellular Responses To Stress R-HSA-2262752	3/722	0.09994522843556408	0.1658282801029337	0	0	2.868567454798331	6.606692249369834	ABCC1;P4HB;LIMD1
Costimulation By CD28 Family R-HSA-388841	1/68	0.1002682623878204	0.1658282801029337	0	0	9.901492537313432	22.772502698810975	PPP2CB
Glycolysis R-HSA-70171	1/69	0.10166760200422945	0.16601418555121011	0	0	9.755392156862746	22.301280984489107	PPP2CB
Interleukin-17 Signaling R-HSA-448424	1/69	0.10166760200422945	0.16601418555121011	0	0	9.755392156862746	22.301280984489107	PPP2CB
Cellular Responses To Stimuli R-HSA-8953897	3/736	0.1043801507402513	0.16844169440206175	0	0	2.811732605729877	6.353716450073669	ABCC1;P4HB;LIMD1
Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	1/71	0.10445996552065845	0.16844169440206175	0	0	9.475714285714286	21.405177919492388	P4HB
Interferon Alpha/Beta Signaling R-HSA-909733	1/72	0.1058529955609793	0.1685806966341522	0	0	9.341784037558686	20.978881609749415	EGR1
Signaling By FGFR2 R-HSA-5654738	1/72	0.1058529955609793	0.1685806966341522	0	0	9.341784037558686	20.978881609749415	PPP2CB
Cellular Response To Hypoxia R-HSA-1234174	1/73	0.10724392850313601	0.16871300947444567	0	0	9.211574074074074	20.566214716689423	LIMD1
Extra-nuclear Estrogen Signaling R-HSA-9009391	1/73	0.10724392850313601	0.16871300947444567	0	0	9.211574074074074	20.566214716689423	EGFR
Generic Transcription Pathway R-HSA-212436	4/1190	0.10982113632502141	0.17172032225366984	0	0	2.3462619449128725	5.182663336193098	PPP2CB;TCF7L2;NR2E3;EGFR
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	1/78	0.11416724371228316	0.17744065589017505	0	0	8.611255411255412	18.687206622741385	EGFR
Platelet Homeostasis R-HSA-418346	1/83	0.12103858786538906	0.1869937465225771	0	0	8.084146341463414	17.070854284931038	PPP2CB
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340	1/84	0.12240665340316831	0.18798164629772277	0	0	7.986345381526104	16.774572169983173	KLF5
Signaling By FGFR R-HSA-190236	1/86	0.12513660526532908	0.1910369476831651	0	0	7.79764705882353	16.206234277302418	PPP2CB
Opioid Signaling R-HSA-111885	1/88	0.12785833813457156	0.19270382383540507	0	0	7.617624521072797	15.668176630929226	PPP2CB
Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531	1/88	0.12785833813457156	0.19270382383540507	0	0	7.617624521072797	15.668176630929226	HNRNPD
Peptide Hormone Metabolism R-HSA-2980736	1/89	0.1292161299361437	0.19270382383540507	0	0	7.530681818181818	15.409799629222077	TCF7L2
Glucose Metabolism R-HSA-70326	1/89	0.1292161299361437	0.19270382383540507	0	0	7.530681818181818	15.409799629222077	PPP2CB
Collagen Formation R-HSA-1474290	1/90	0.13057187592621022	0.19360657464920827	0	0	7.4456928838951315	15.158175594574578	P4HB
Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	1/93	0.13462686905744525	0.19847846981040498	0	0	7.201811594202899	14.441420169325145	PPP2CB
Transcriptional Regulation By RUNX3 R-HSA-8878159	1/95	0.13732002340321625	0.1987510985829135	0	0	7.047872340425532	13.993135693897646	TCF7L2
Metabolism Of Nucleotides R-HSA-15869	1/95	0.13732002340321625	0.1987510985829135	0	0	7.047872340425532	13.993135693897646	UPP1
Drug ADME R-HSA-9748784	1/95	0.13732002340321625	0.1987510985829135	0	0	7.047872340425532	13.993135693897646	ABCC1
HCMV Early Events R-HSA-9609690	1/96	0.1386635571508699	0.1987510985829135	0	0	6.973333333333334	13.77724766471137	EGFR
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871	1/96	0.1386635571508699	0.1987510985829135	0	0	6.973333333333334	13.77724766471137	PPP2CB
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025	1/97	0.14000506588878114	0.19956523204036206	0	0	6.900347222222222	13.566611703053766	PPP2CB
