Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"52"	"BHLHE40"	"185.8"	"ARCHS4 Coexpression,50;ENCODE ChIP-seq,7;ReMap ChIP-seq,154;GTEx Coexpression,532"	"EGR1,GALNT14,ABCC1,KLF5,RPN2,RIF1,ANKHD1-EIF4EBP3,HNRNPD,PCGF1,P4HB,ANKHD1"
"gene_set_query"	"53"	"NFATC2"	"187.3"	"ARCHS4 Coexpression,119;Enrichr Queries,79;GTEx Coexpression,364"	"TCF7L2,EGR1,MBNL1,KLF5,IL10RA,LPAR1,EGFR"
"gene_set_query"	"54"	"FOXL1"	"188.3"	"ARCHS4 Coexpression,10;Enrichr Queries,361;GTEx Coexpression,194"	"EGR1,MBNL1,ABCC1,KLF5,LPAR1,P4HB,EGFR"
"gene_set_query"	"55"	"DBX2"	"189.3"	"ARCHS4 Coexpression,57;Enrichr Queries,309;GTEx Coexpression,202"	"PPP2CB,TCF7L2,EGR1,LPAR1,PLA2G5,EGFR"
"gene_set_query"	"56"	"TFAP2C"	"189.7"	"Literature ChIP-seq,94;ARCHS4 Coexpression,581;ENCODE ChIP-seq,41;Enrichr Queries,65;ReMap ChIP-seq,255;GTEx Coexpression,102"	"TCF7L2,EGR1,RIF1,LPAR1,ANKHD1-EIF4EBP3,EGFR,ANKHD1,KLF5,FUBP1,HNRNPD,P4HB,UPP1"
"gene_set_query"	"57"	"TET1"	"189.7"	"Literature ChIP-seq,108;ARCHS4 Coexpression,112;GTEx Coexpression,349"	"CORT,RIF1,FUBP1,UPP1,EGFR"
"gene_set_query"	"58"	"FOXA2"	"193.2"	"Literature ChIP-seq,52;ARCHS4 Coexpression,660;ENCODE ChIP-seq,18;Enrichr Queries,34;ReMap ChIP-seq,63;GTEx Coexpression,332"	"TCF7L2,EGR1,ABCC1,RPN2,RIF1,LPAR1,LIMD1,EGFR,SFPQ,TF,KLF5,FUBP1,P4HB,UPP1,HIST1H3B"
"gene_set_query"	"59"	"KDM5B"	"194.4"	"Literature ChIP-seq,15;ARCHS4 Coexpression,208;ENCODE ChIP-seq,65;ReMap ChIP-seq,149;GTEx Coexpression,535"	"EGR1,ABCC1,RPN2,RIF1,EGFR,ANKHD1,PPP2CB,SFPQ,KLF5,MAN1A2,FUBP1,HNRNPD,PCGF1,P4HB,UPP1,HIST1H3B"
"gene_set_query"	"60"	"SMAD3"	"195.6"	"Literature ChIP-seq,65;ARCHS4 Coexpression,16;Enrichr Queries,276;ReMap ChIP-seq,71;GTEx Coexpression,550"	"TCF7L2,EGR1,ABCC1,MBNL1,KLF5,FUBP1,LPAR1,UPP1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"61"	"NKX62"	"197.5"	"ARCHS4 Coexpression,353;GTEx Coexpression,42"	"TF,LPAR1"
"gene_set_query"	"62"	"FOXO3"	"197.8"	"Literature ChIP-seq,133;ARCHS4 Coexpression,177;Enrichr Queries,350;GTEx Coexpression,131"	"TCF7L2,EGR1,MBNL1,RIF1,FUBP1,RANBP10,PCGF1,EGFR"
"gene_set_query"	"63"	"SOX2"	"199.6"	"Literature ChIP-seq,7;ARCHS4 Coexpression,786;Enrichr Queries,53;ReMap ChIP-seq,4;GTEx Coexpression,148"	"TCF7L2,EGR1,MBNL1,RIF1,ANKHD1-EIF4EBP3,LPAR1,ANKHD1,EGFR,PPP2CB,SFPQ,KLF5,FUBP1,UPP1,HIST1H3B"
"gene_set_query"	"64"	"JUN"	"202.8"	"Literature ChIP-seq,49;ARCHS4 Coexpression,352;ENCODE ChIP-seq,22;Enrichr Queries,607;ReMap ChIP-seq,147;GTEx Coexpression,40"	"TCF7L2,EGR1,PPP2CB,CORT,RPN2,FUBP1,RANBP10,LPAR1,UPP1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"65"	"ZBTB26"	"203.7"	"ARCHS4 Coexpression,25;Enrichr Queries,400;GTEx Coexpression,186"	"TCF7L2,EGR1,MBNL1,SFPQ,RIF1,FUBP1"
"gene_set_query"	"66"	"NANOG"	"204.0"	"Literature ChIP-seq,20;ARCHS4 Coexpression,520;ENCODE ChIP-seq,59;Enrichr Queries,366;ReMap ChIP-seq,53;GTEx Coexpression,206"	"TCF7L2,EGR1,RIF1,RPN2,LPAR1,PLA2G5,PPP2CB,CORT,KLF5,RANBP10,HNRNPD,PCGF1,UPP1,P4HB,HIST1H3B"
"gene_set_query"	"67"	"MAX"	"205.6"	"ARCHS4 Coexpression,335;ENCODE ChIP-seq,58;Enrichr Queries,15;ReMap ChIP-seq,137;GTEx Coexpression,483"	"TCF7L2,EGR1,MBNL1,ABCC1,EGFR,PPP2CB,SFPQ,KLF5,FUBP1,PCGF1,UPP1,P4HB,HIST1H3B"
"gene_set_query"	"68"	"FOSL2"	"206.0"	"ARCHS4 Coexpression,41;ENCODE ChIP-seq,16;Enrichr Queries,357;ReMap ChIP-seq,27;GTEx Coexpression,589"	"TCF7L2,EGR1,MBNL1,ABCC1,KLF5,RPN2,IL10RA,PCGF1,UPP1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"69"	"ZFX"	"207.8"	"Literature ChIP-seq,106;ARCHS4 Coexpression,242;Enrichr Queries,134;ReMap ChIP-seq,107;GTEx Coexpression,450"	"EGR1,TCF7L2,PPP2CB,MBNL1,SFPQ,RIF1,RPN2,MAN1A2,FUBP1,PCGF1,P4HB"
"gene_set_query"	"70"	"TFAP2A"	"210.3"	"Literature ChIP-seq,142;ARCHS4 Coexpression,625;ENCODE ChIP-seq,40;Enrichr Queries,82;ReMap ChIP-seq,281;GTEx Coexpression,92"	"TCF7L2,EGR1,KLF5,RIF1,FUBP1,LPAR1,ANKHD1-EIF4EBP3,HNRNPD,RANBP10,UPP1,EGFR,ANKHD1"
"gene_set_query"	"71"	"ZNF148"	"211.0"	"ARCHS4 Coexpression,77;Enrichr Queries,386;GTEx Coexpression,170"	"TCF7L2,EGR1,MBNL1,MAN1A2"
"gene_set_query"	"72"	"IKZF1"	"211.7"	"Literature ChIP-seq,83;ARCHS4 Coexpression,88;ENCODE ChIP-seq,109;Enrichr Queries,416;ReMap ChIP-seq,136;GTEx Coexpression,438"	"EGR1,TCF7L2,MBNL1,IL10RA,UPP1"
"gene_set_query"	"73"	"NFX1"	"212.0"	"ARCHS4 Coexpression,396;Enrichr Queries,141;GTEx Coexpression,99"	"TCF7L2,EGR1,MBNL1,RIF1,FUBP1,LIMD1,ANKHD1"
"gene_set_query"	"74"	"PCGF2"	"213.0"	"ARCHS4 Coexpression,166;ReMap ChIP-seq,260"	"MBNL1,HNRNPD,PCGF1"
"gene_set_query"	"75"	"PRDM2"	"214.0"	"ARCHS4 Coexpression,157;Enrichr Queries,394;GTEx Coexpression,91"	"TCF7L2,EGR1,MBNL1,RIF1,RPN2,P4HB,EGFR"
"gene_set_query"	"76"	"ZBTB33"	"215.0"	"ARCHS4 Coexpression,26;ENCODE ChIP-seq,21;Enrichr Queries,670;ReMap ChIP-seq,21;GTEx Coexpression,337"	"EGR1,TCF7L2,MBNL1,RIF1,ANKHD1-EIF4EBP3,COQ9,ANKHD1,CORT,SFPQ,KLF5,FUBP1,P4HB,HIST1H3B"
"gene_set_query"	"77"	"FOXO1"	"215.8"	"Literature ChIP-seq,42;ARCHS4 Coexpression,447;Enrichr Queries,78;ReMap ChIP-seq,102;GTEx Coexpression,410"	"TCF7L2,EGR1,PPP2CB,MBNL1,KLF5,RIF1,MAN1A2,FUBP1,LPAR1,HNRNPD,HIST1H3B,EGFR"
"gene_set_query"	"78"	"ZNF326"	"216.0"	"ARCHS4 Coexpression,27;Enrichr Queries,139;GTEx Coexpression,482"	"EGR1,MBNL1,SFPQ,FUBP1,LPAR1,HNRNPD,P4HB"
"gene_set_query"	"79"	"PRRX1"	"217.3"	"ARCHS4 Coexpression,279;Enrichr Queries,209;GTEx Coexpression,164"	"TCF7L2,EGR1,MBNL1,LPAR1,EGFR"
"gene_set_query"	"80"	"ZNF587B"	"217.5"	"ARCHS4 Coexpression,72;GTEx Coexpression,363"	"PPP2CB,RIF1,FUBP1"
"gene_set_query"	"81"	"UBP1"	"220.0"	"ARCHS4 Coexpression,49;Enrichr Queries,19;GTEx Coexpression,592"	"TCF7L2,EGR1,MBNL1,SFPQ,ABCC1,FUBP1,HNRNPD"
"gene_set_query"	"82"	"EEA1"	"220.3"	"ARCHS4 Coexpression,94;Enrichr Queries,127;GTEx Coexpression,440"	"TCF7L2,EGR1,MBNL1,RIF1,MAN1A2,EGFR"
"gene_set_query"	"83"	"ETS1"	"223.2"	"Literature ChIP-seq,140;ARCHS4 Coexpression,123;ENCODE ChIP-seq,28;Enrichr Queries,691;ReMap ChIP-seq,126;GTEx Coexpression,231"	"TCF7L2,EGR1,MBNL1,IL10RA,RANBP10,PCGF1,P4HB,COQ9,HIST1H3B,EGFR"
"gene_set_query"	"84"	"ZNF525"	"224.0"	"ARCHS4 Coexpression,433;GTEx Coexpression,15"	"SFPQ,HNRNPD,P4HB,ANKHD1"
"gene_set_query"	"85"	"REST"	"224.5"	"Literature ChIP-seq,24;ARCHS4 Coexpression,254;ENCODE ChIP-seq,24;Enrichr Queries,76;ReMap ChIP-seq,72;GTEx Coexpression,897"	"TCF7L2,EGR1,MBNL1,ABCC1,RIF1,ANKHD1-EIF4EBP3,COQ9,NR2E3,ANKHD1,EGFR,SFPQ,KLF5,MAN1A2,FUBP1,P4HB,HIST1H3B"
"gene_set_query"	"86"	"ZNF83"	"231.0"	"ARCHS4 Coexpression,556;Enrichr Queries,37;ReMap ChIP-seq,12;GTEx Coexpression,319"	"TCF7L2,EGR1,MBNL1,FUBP1,HNRNPD,RANBP10,LPAR1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"87"	"EBF1"	"235.0"	"ARCHS4 Coexpression,590;ENCODE ChIP-seq,70;Enrichr Queries,217;ReMap ChIP-seq,266;GTEx Coexpression,32"	"TCF7L2,EGR1,MBNL1,RPN2,RIF1,MAN1A2,IL10RA,LPAR1,PCGF1,UPP1,P4HB,EGFR"
"gene_set_query"	"88"	"SAFB"	"235.5"	"ARCHS4 Coexpression,126;GTEx Coexpression,345"	"SFPQ,HNRNPD"
"gene_set_query"	"89"	"ZNF664"	"237.3"	"ARCHS4 Coexpression,518;Enrichr Queries,143;GTEx Coexpression,51"	"PPP2CB,EGR1,MBNL1,SFPQ,LPAR1,HNRNPD,P4HB"
"gene_set_query"	"90"	"BACH2"	"238.0"	"ARCHS4 Coexpression,161;Enrichr Queries,578;ReMap ChIP-seq,99;GTEx Coexpression,114"	"TCF7L2,EGR1,RIF1,RPN2,MAN1A2,RANBP10,LPAR1,P4HB,LIMD1,HIST1H3B"
"gene_set_query"	"91"	"ZEB1"	"238.0"	"ARCHS4 Coexpression,735;ENCODE ChIP-seq,105;Enrichr Queries,81;ReMap ChIP-seq,123;GTEx Coexpression,146"	"TCF7L2,EGR1,MBNL1,LPAR1,PCGF1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"92"	"SMAD5"	"238.0"	"ARCHS4 Coexpression,325;Enrichr Queries,261;ReMap ChIP-seq,91;GTEx Coexpression,275"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"93"	"MEF2A"	"238.8"	"Literature ChIP-seq,128;ARCHS4 Coexpression,452;ENCODE ChIP-seq,42;Enrichr Queries,354;ReMap ChIP-seq,101;GTEx Coexpression,356"	"EGR1,TCF7L2,MBNL1,COQ9,HIST1H3B,EGFR"
"gene_set_query"	"94"	"BCL11B"	"240.8"	"Literature ChIP-seq,161;ARCHS4 Coexpression,108;Enrichr Queries,298;GTEx Coexpression,396"	"TCF7L2,EGR1,MBNL1,KLF5,IL10RA,LPAR1"
"gene_set_query"	"95"	"ZNF322"	"243.0"	"ARCHS4 Coexpression,314;GTEx Coexpression,172"	"MBNL1,FUBP1"
"gene_set_query"	"96"	"POU5F1"	"244.2"	"Literature ChIP-seq,10;ARCHS4 Coexpression,707;Enrichr Queries,95;ReMap ChIP-seq,165;GTEx Coexpression,244"	"TCF7L2,EGR1,PPP2CB,SFPQ,KLF5,RIF1,HNRNPD,PCGF1,P4HB,UPP1,HIST1H3B,EGFR"
"gene_set_query"	"97"	"ADNP2"	"247.3"	"ARCHS4 Coexpression,45;Enrichr Queries,381;GTEx Coexpression,316"	"TCF7L2,EGR1,SFPQ,RIF1,FUBP1,HNRNPD,EGFR"
"gene_set_query"	"98"	"LCOR"	"248.3"	"ARCHS4 Coexpression,83;Enrichr Queries,392;GTEx Coexpression,270"	"TCF7L2,EGR1,MBNL1,MAN1A2,FUBP1,P4HB,ANKHD1"
"gene_set_query"	"99"	"ZNF202"	"248.3"	"ARCHS4 Coexpression,142;Enrichr Queries,539;GTEx Coexpression,64"	"TCF7L2,EGR1,SFPQ,HNRNPD,UPP1,ANKHD1"
"gene_set_query"	"100"	"ZNF718"	"251.0"	"ARCHS4 Coexpression,256;Enrichr Queries,447;GTEx Coexpression,50"	"TCF7L2,EGR1,FUBP1,HNRNPD,LPAR1,P4HB,EGFR"
"gene_set_query"	"101"	"RUNX1"	"251.6"	"Literature ChIP-seq,22;ARCHS4 Coexpression,160;Enrichr Queries,56;ReMap ChIP-seq,158;GTEx Coexpression,862"	"TCF7L2,EGR1,PPP2CB,ABCC1,MBNL1,KLF5,IL10RA,LPAR1,P4HB,UPP1,HIST1H3B,EGFR"
"gene_set_query"	"102"	"ELF1"	"252.6"	"Literature ChIP-seq,135;ARCHS4 Coexpression,159;ENCODE ChIP-seq,99;ReMap ChIP-seq,119;GTEx Coexpression,751"	"PPP2CB,MBNL1,IL10RA,PCGF1,P4HB,COQ9,HIST1H3B"
"gene_set_query"	"103"	"GATA3"	"254.2"	"Literature ChIP-seq,103;ARCHS4 Coexpression,989;ENCODE ChIP-seq,47;Enrichr Queries,55;ReMap ChIP-seq,208;GTEx Coexpression,123"	"TCF7L2,EGR1,MBNL1,TF,KLF5,RPN2,LPAR1,PCGF1,HIST1H3B,EGFR"
"gene_set_query"	"104"	"CARF"	"255.0"	"ARCHS4 Coexpression,437;GTEx Coexpression,73"	"RIF1,FUBP1,P4HB"
"gene_set_query"	"105"	"OTX1"	"255.3"	"ARCHS4 Coexpression,211;Enrichr Queries,30;GTEx Coexpression,525"	"TCF7L2,EGR1,MBNL1,KLF5,LPAR1,EGFR"
"gene_set_query"	"106"	"FOXP1"	"257.2"	"Literature ChIP-seq,30;ARCHS4 Coexpression,439;Enrichr Queries,112;ReMap ChIP-seq,26;GTEx Coexpression,679"	"TCF7L2,EGR1,MBNL1,FUBP1,LPAR1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"107"	"HOXA3"	"257.7"	"ARCHS4 Coexpression,180;Enrichr Queries,523;GTEx Coexpression,70"	"TCF7L2,EGR1,ABCC1,MBNL1,KLF5,IL10RA,LPAR1"
"gene_set_query"	"108"	"ZNF595"	"259.0"	"ARCHS4 Coexpression,482;Enrichr Queries,36"	"TCF7L2,EGR1,LPAR1,UPP1,P4HB,EGFR"
"gene_set_query"	"109"	"ZNF507"	"261.0"	"ARCHS4 Coexpression,28;Enrichr Queries,507;GTEx Coexpression,248"	"TCF7L2,EGR1,MBNL1,SFPQ,RIF1,FUBP1"
